65 0,00183899
59 0,00172452
196 0,00692399
235 0,0082162
43 0,00126085
123 0,00350771
7 0,000283415
128 0,00425941
181 0,00549951
146 0,00472455
243 0,00914404
200 0,00600761
6 0,000218044
155 0,00489573
50 0,00133886
171 0,00576302
153 0,00467203
216 0,007147
63 0,00177655
43 0,00120316
143 0,00457502
67 0,00198566
124 0,00355499
160 0,00527812
93 0,00257847
21 0,000651061
19 0,000579124
166 0,00535473
170 0,00519864
61 0,00165873
67 0,00221753
76 0,00232055
220 0,00739675
80 0,00239688
17 0,000613765
217 0,00662088
13 0,000494896
203 0,00606781
183 0,00608143
63 0,00181964
24 0,000740877
109 0,0032282
161 0,00500511
170 0,00531122
45 0,00148036
183 0,00566657
137 0,00462901
183 0,00548387
67 0,00247825
245 0,00786469
133 0,00410862
110 0,00292244
142 0,0045188
8 0,000306533
84 0,00249564
85 0,0023797
43 0,00123577
229 0,00811772
11 0,000385663
27 0,000782153
10 0,000355841
198 0,00637714
192 0,005808
20 0,000602801
51 0,00173402
224 0,00755955
63 0,00210495
127 0,00374706
128 0,00374426
230 0,00751793
76 0,00206137
93 0,0028894
154 0,00455987
109 0,00345896
95 0,00295226
169 0,00515743
157 0,00497487
215 0,00729932
105 0,00320446
65 0,00192552
155 0,00513997
123 0,00359473
195 0,00646046
126 0,00360325
147 0,00475724
64 0,00181769
193 0,00583447
201 0,00625694
233 0,00780686
248 0,00818212
10 0,000450756
142 0,00439288
103 0,00295603
179 0,00533301
206 0,00703434
81 0,00235889
147 0,00417721
48 0,00169756
18 0,000635416
233 0,00698643
111 0,0036402
110 0,00306533
10 0,000350603
19 0,000598051
108 0,00306673
41 0,0012746
98 0,00290735
100 0,00278765
217 0,00832271
122 0,00356784
166 0,00521519
9 0,000318057
213 0,00652576
33 0,00110196
17 0,000686609
82 0,00235659
218 0,00692875
134 0,00387291
219 0,00721034
120 0,00347558
25 0,000754565
89 0,00247203
177 0,00548394
253 0,00890449
141 0,00424719
74 0,00249766
184 0,00537464
98 0,00274832
161 0,00486696
192 0,00646751
59 0,00180016
165 0,00478511
212 0,00781398
177 0,0058117
103 0,00299396
211 0,007744
14 0,000491193
185 0,00573145
115 0,00403187
20 0,000653924
188 0,00545314
103 0,00388667
201 0,0058615
66 0,00198559
65 0,00225867
254 0,00856862
65 0,00186784
93 0,00262533
68 0,00185945
234 0,00806953
211 0,00802407
207 0,00674325
93 0,002772
187 0,0055535
73 0,00245639
172 0,00514751
16 0,000526114
161 0,00531499
173 0,00508277
106 0,00365675
40 0,00127551
67 0,0018517
54 0,00141848
214 0,00765035
200 0,0057001
223 0,00749711
116 0,00364208
176 0,00532261
236 0,00779087
108 0,00291343
15 0,000513333
153 0,00544036
7 0,000453689
154 0,00447047
130 0,00456559
126 0,00369411
87 0,00235659
16 0,000509562
79 0,00275971
250 0,00800234
41 0,00134696
244 0,00768534
41 0,00108156
38 0,00117243
192 0,00590739
27 0,000783968
116 0,00403662
194 0,00587896
158 0,00506712
85 0,00231398
231 0,00822269
18 0,000628292
21 0,000654762
170 0,00485704
181 0,00554875
76 0,00208078
57 0,00163554
228 0,00721747
204 0,0069988
165 0,00481451
238 0,00820195
55 0,00149558
147 0,00464508
11 0,000446635
179 0,00512998
126 0,00371395
75 0,00210537
190 0,00648595
53 0,00157171
225 0,00759594
237 0,00803685
177 0,0055109
37 0,00104706
81 0,00219197
147 0,00494364
101 0,00278855
235 0,00837229
13 0,000427638
39 0,00107206
79 0,00216682
253 0,00841776
179 0,0058828
214 0,00651535
199 0,00620777
131 0,00374286
128 0,0039841
18 0,00068179
71 0,00193642
131 0,00364585
254 0,00855772
136 0,00456944
129 0,00353285
59 0,00171509
223 0,00703386
252 0,00919503
139 0,0039586
102 0,0032238
220 0,00655027
100 0,0030691
207 0,00619262
237 0,00860647
237 0,00833116
93 0,00262485
174 0,00578761
67 0,00192755
33 0,00100355
68 0,00192846
165 0,00543763
73 0,0021002
91 0,00262638
5 0,000236063
67 0,00183242
200 0,00620114
241 0,0088667
79 0,00221229
183 0,00629249
158 0,00482205
104 0,00326787
107 0,00317561
169 0,00498387
162 0,00490244
220 0,00725581
46 0,00126126
255 0,0088468
37 0,00103239
31 0,000924489
214 0,00783905
28 0,000842147
168 0,00510498
64 0,0020907
117 0,00336062
251 0,0087157
51 0,00129542
194 0,00593763
22 0,000660489
32 0,00104566
99 0,00275915
23 0,000672781
50 0,00137161
127 0,00420033
245 0,0079522
127 0,00400966
82 0,00235386
24 0,000728095
218 0,00804641
123 0,00345183
112 0,00400163
20 0,000716292
139 0,00410995
241 0,00836196
124 0,00348215
106 0,00355737
118 0,00349402
22 0,000662374
70 0,00194208
238 0,00799047
103 0,00301561
18 0,00059854
121 0,00366241
110 0,00307434
140 0,00469473
101 0,0029494
61 0,00166683
148 0,00497528
153 0,00431717
134 0,00440419
111 0,00333352
41 0,00114128
125 0,00359662
85 0,00268393
189 0,00557054
224 0,00777759
83 0,00239632
81 0,00281698
63 0,00184185
94 0,002483
201 0,00696674
116 0,0033748
132 0,00433624
74 0,00216445
67 0,00185128
15 0,000477366
222 0,008165
130 0,00376088
62 0,00165259
184 0,0057001
47 0,00127216
102 0,00281984
12 0,00047974
68 0,00215034
217 0,00654085
143 0,00461295
149 0,00432192
13 0,000431968
168 0,00564946
110 0,00310605
78 0,00214182
244 0,00767814
84 0,00236888
24 0,000798565
101 0,0033426
73 0,00199425
85 0,00235896
47 0,00167249
9 0,000270076
161 0,004884
140 0,00435321
124 0,00369167
139 0,0040362
222 0,00737929
212 0,00712465
180 0,00547919
185 0,00591772
152 0,00439763
209 0,00663555
185 0,00672683
144 0,00423958
14 0,000471289
204 0,00746296
185 0,00624144
121 0,00355317
82 0,00224547
107 0,00379106
107 0,00315333
74 0,00208595
71 0,00192371
188 0,0056841
74 0,00199369
133 0,00443443
12 0,000507676
92 0,00276767
176 0,00584872
80 0,00226244
121 0,00352238
159 0,00543568
225 0,00730875
217 0,00697093
131 0,00452921
57 0,00180072
251 0,00848488
221 0,00671398
96 0,00321766
157 0,00483288
222 0,00829288
9 0,000330629
145 0,00422163
165 0,00493792
102 0,00277577
205 0,00682754
